Jaar,Balanspost,Energiebron,Waarde in PJ
2009,BrutoProductie,"Olieproducten, kolenrestgassen en overig",23.4
2009,BrutoProductie,Kernenergie,15.3
2009,BrutoProductie,Hernieuwbare energie,39
2009,BrutoProductie,Waterkracht,0.4
2009,BrutoProductie,Windenergie,16.5
2009,BrutoProductie,Zonne-energie,0.2
2009,BrutoProductie,Biomassa,22
2010,Invoer,,56.1
2010,Uitvoer,,46.1
2010,BrutoProductie,Totaal energiedragers,425.3
2010,BrutoProductie,Steenkool,78.8
2010,BrutoProductie,Aardgas,264.9
2010,BrutoProductie,"Olieproducten, kolenrestgassen en overig",26.9
2010,BrutoProductie,Kernenergie,14.3
2010,BrutoProductie,Hernieuwbare energie,40.4
2010,BrutoProductie,Waterkracht,0.4
2010,BrutoProductie,Windenergie,14.4
2010,BrutoProductie,Zonne-energie,0.2
2010,BrutoProductie,Biomassa,25.4
2011,Invoer,,74.2
2011,Uitvoer,,41.5
2011,BrutoProductie,Totaal energiedragers,406.7
2011,BrutoProductie,Steenkool,74.8
2011,BrutoProductie,Aardgas,244.6
2011,BrutoProductie,"Olieproducten, kolenrestgassen en overig",28
2011,BrutoProductie,Kernenergie,14.9
2011,BrutoProductie,Hernieuwbare energie,44.4
2011,BrutoProductie,Waterkracht,0.2
2011,BrutoProductie,Windenergie,18.4
2011,BrutoProductie,Zonne-energie,0.4
2011,BrutoProductie,Biomassa,25.5
2012,Invoer,,115.8
2012,Uitvoer,,54.2
2012,BrutoProductie,Totaal energiedragers,369
2012,BrutoProductie,Steenkool,87.2
2012,BrutoProductie,Aardgas,194.6
2012,BrutoProductie,"Olieproducten, kolenrestgassen en overig",28
2012,BrutoProductie,Kernenergie,14.1
2012,BrutoProductie,Hernieuwbare energie,45.2
2012,BrutoProductie,Waterkracht,0.4
2012,BrutoProductie,Windenergie,17.9
2012,BrutoProductie,Zonne-energie,0.9
2012,BrutoProductie,Biomassa,25.9
2013,Invoer,,119.7
2013,Uitvoer,,54.1
2013,BrutoProductie,Totaal energiedragers,363.2
2013,BrutoProductie,Steenkool,88.4
2013,BrutoProductie,Aardgas,194.5
2013,BrutoProductie,"Olieproducten, kolenrestgassen en overig",25.9
2013,BrutoProductie,Kernenergie,10.4
2013,BrutoProductie,Hernieuwbare energie,44
2013,BrutoProductie,Waterkracht,0.4
2013,BrutoProductie,Windenergie,20.3
2013,BrutoProductie,Zonne-energie,1.9
2013,BrutoProductie,Biomassa,21.4
2014,Invoer,,118.3
2014,Uitvoer,,65.3
2014,BrutoProductie,Totaal energiedragers,372.3
2014,BrutoProductie,Steenkool,103.5
2014,BrutoProductie,Aardgas,183.6
2014,BrutoProductie,"Olieproducten, kolenrestgassen en overig",28.3
2014,BrutoProductie,Kernenergie,14.7
2014,BrutoProductie,Hernieuwbare energie,42.1
2014,BrutoProductie,Waterkracht,0.4
2014,BrutoProductie,Windenergie,20.9
2014,BrutoProductie,Zonne-energie,2.8
2014,BrutoProductie,Biomassa,18
2015,Invoer,,110.7
2015,Uitvoer,,79.2
2015,BrutoProductie,Totaal energiedragers,396.8
2015,BrutoProductie,Steenkool,141.8
2015,BrutoProductie,Aardgas,164.9
2015,BrutoProductie,"Olieproducten, kolenrestgassen en overig",26.1
2015,BrutoProductie,Kernenergie,14.7
2015,BrutoProductie,Hernieuwbare energie,49.3
2015,BrutoProductie,Waterkracht,0.3
2015,BrutoProductie,Windenergie,27.2
2015,BrutoProductie,Zonne-energie,4
2015,BrutoProductie,Biomassa,17.8
2016,Invoer,,87.3
2016,Uitvoer,,69.6
2016,BrutoProductie,Totaal energiedragers,414.6
2016,BrutoProductie,Steenkool,132.5
2016,BrutoProductie,Aardgas,189.1
2016,BrutoProductie,"Olieproducten, kolenrestgassen en overig",25.4
2016,BrutoProductie,Kernenergie,14.3
2016,BrutoProductie,Hernieuwbare energie,53.2
2016,BrutoProductie,Waterkracht,0.4
2016,BrutoProductie,Windenergie,29.4
2016,BrutoProductie,Zonne-energie,5.8
2016,BrutoProductie,Biomassa,17.7
2017,Invoer,,80.8
2017,Uitvoer,,68.2
2017,BrutoProductie,Totaal energiedragers,421.8
2017,BrutoProductie,Steenkool,113
2017,BrutoProductie,Aardgas,207.8
2017,BrutoProductie,"Olieproducten, kolenrestgassen en overig",26
2017,BrutoProductie,Kernenergie,12.2
2017,BrutoProductie,Hernieuwbare energie,62.8
2017,BrutoProductie,Waterkracht,0.2
2017,BrutoProductie,Windenergie,38
2017,BrutoProductie,Zonne-energie,7.9
2017,BrutoProductie,Biomassa,16.6
2018,Invoer,,96.3
2018,Uitvoer,,67.6
2018,BrutoProductie,Totaal energiedragers,411.8
2018,BrutoProductie,Steenkool,99.3
2018,BrutoProductie,Aardgas,207.5
2018,BrutoProductie,"Olieproducten, kolenrestgassen en overig",24.4
2018,BrutoProductie,Kernenergie,12.7
2018,BrutoProductie,Hernieuwbare energie,68
2018,BrutoProductie,Waterkracht,0.3
2018,BrutoProductie,Windenergie,38
2018,BrutoProductie,Zonne-energie,13.3
2018,BrutoProductie,Biomassa,16.4
2019,Invoer,,73.5
2019,Uitvoer,,70.4
2019,BrutoProductie,Totaal energiedragers,437.1
2019,BrutoProductie,Steenkool,63.7
2019,BrutoProductie,Aardgas,254.6
2019,BrutoProductie,"Olieproducten, kolenrestgassen en overig",22.6
2019,BrutoProductie,Kernenergie,14.1
2019,BrutoProductie,Hernieuwbare energie,82.1
2019,BrutoProductie,Waterkracht,0.3
2019,BrutoProductie,Windenergie,41.4
2019,BrutoProductie,Zonne-energie,19.4
2019,BrutoProductie,Biomassa,21
2020,Invoer,,71.2
2020,Uitvoer,,80.8
2020,BrutoProductie,Totaal energiedragers,443.8
2020,BrutoProductie,Steenkool,27.4
2020,BrutoProductie,Aardgas,261.1
2020,BrutoProductie,"Olieproducten, kolenrestgassen en overig",22.8
2020,BrutoProductie,Kernenergie,14.7
2020,BrutoProductie,Hernieuwbare energie,117.8
2020,BrutoProductie,Waterkracht,0.2
2020,BrutoProductie,Windenergie,55
2020,BrutoProductie,Zonne-energie,30.8
2020,BrutoProductie,Biomassa,31.8
2021,Invoer,,75.2
2021,Uitvoer,,74.3
2021,BrutoProductie,Totaal energiedragers,439.8
2021,BrutoProductie,Steenkool,52.6
2021,BrutoProductie,Aardgas,204.1
2021,BrutoProductie,"Olieproducten, kolenrestgassen en overig",23.8
2021,BrutoProductie,Kernenergie,13.8
2021,BrutoProductie,Hernieuwbare energie,145.6
2021,BrutoProductie,Waterkracht,0.3
2021,BrutoProductie,Windenergie,65.2
2021,BrutoProductie,Zonne-energie,40.7
2021,BrutoProductie,Biomassa,39.3
2022,Invoer,,66.8
2022,Uitvoer,,82.1
2022,BrutoProductie,Totaal energiedragers,437.7
2022,BrutoProductie,Steenkool,53.3
2022,BrutoProductie,Aardgas,171.9
2022,BrutoProductie,"Olieproducten, kolenrestgassen en overig",24.4
2022,BrutoProductie,Kernenergie,15
2022,BrutoProductie,Hernieuwbare energie,173.1
2022,BrutoProductie,Waterkracht,0.2
2022,BrutoProductie,Windenergie,77.6
2022,BrutoProductie,Zonne-energie,60
2022,BrutoProductie,Biomassa,35.4
2023,Invoer,,70.4
2023,Uitvoer,,90.7
2023,BrutoProductie,Totaal energiedragers,436.8
2023,BrutoProductie,Steenkool,31.4
2023,BrutoProductie,Aardgas,165.4
2023,BrutoProductie,"Olieproducten, kolenrestgassen en overig",21.2
2023,BrutoProductie,Kernenergie,14.3
2023,BrutoProductie,Hernieuwbare energie,204.4
2023,BrutoProductie,Waterkracht,0.2
2023,BrutoProductie,Windenergie,106.3
2023,BrutoProductie,Zonne-energie,70.5
2023,BrutoProductie,Biomassa,27.4
2024,Invoer,,72.1
2024,Uitvoer,,87.3
2024,BrutoProductie,Totaal energiedragers,443.4
2024,BrutoProductie,Steenkool,27
2024,BrutoProductie,Aardgas,159.3
2024,BrutoProductie,"Olieproducten, kolenrestgassen en overig",22.7
2024,BrutoProductie,Kernenergie,12.9
2024,BrutoProductie,Hernieuwbare energie,221.4
2024,BrutoProductie,Waterkracht,0.3
2024,BrutoProductie,Windenergie,120.6
2024,BrutoProductie,Zonne-energie,76.6
2024,BrutoProductie,Biomassa,24
