Jaar;Balanspost;Energiedrager;Waarde in PJ
2000;Totaal energieverbruik;Zonne-energie;0,5
2000;Totaal energieverbruik;Omgevingsenergie;0,2
2000;Totaal energieverbruik;Biomassa;52,6
2000;Totaal energieverbruik;Elektriciteit;64,8
2000;Totaal energieverbruik;Overig;31,6
2001;Bunkering;Totaal energiedragers;737,1
2001;Bunkering;Aardoliegrondstoffen en producten;737,1
2001;Uitvoer;Totaal energiedragers;5961,5
2001;Uitvoer;Kool en koolproducten;23,9
2001;Uitvoer;Aardoliegrondstoffen en producten;4429,1
2001;Uitvoer;Aardgas;1486
2001;Uitvoer;Hernieuwbare energie;7,4
2001;Uitvoer;Biomassa;7,4
2001;Uitvoer;Elektriciteit;15,2
2001;Statistische verschillen;Totaal energiedragers;-1,3
2001;Statistische verschillen;Kool en koolproducten;0
2001;Statistische verschillen;Aardoliegrondstoffen en producten;-1,1
2001;Statistische verschillen;Aardgas;-3,7
2001;Statistische verschillen;Hernieuwbare energie;0
2001;Statistische verschillen;Biomassa;0
2001;Statistische verschillen;Elektriciteit;3,4
2001;Totaal energieverbruik;Totaal energiedragers;3232,6
2001;Totaal energieverbruik;Kool en koolproducten;346,2
2001;Totaal energieverbruik;Aardoliegrondstoffen en producten;1189,8
2001;Totaal energieverbruik;Aardgas;1505,5
2001;Totaal energieverbruik;Kernenergie;40,9
2001;Totaal energieverbruik;Hernieuwbare energie;59,6
2001;Totaal energieverbruik;Waterkracht;0,4
2001;Totaal energieverbruik;Windenergie;3
2001;Totaal energieverbruik;Zonne-energie;0,6
2001;Totaal energieverbruik;Omgevingsenergie;0,2
2001;Totaal energieverbruik;Biomassa;55,5
2001;Totaal energieverbruik;Elektriciteit;58,8
2001;Totaal energieverbruik;Overig;31,9
2002;Bunkering;Totaal energiedragers;737,8
2002;Bunkering;Aardoliegrondstoffen en producten;737,8
2002;Uitvoer;Totaal energiedragers;6201
2002;Uitvoer;Kool en koolproducten;21
2002;Uitvoer;Aardoliegrondstoffen en producten;4577,1
2002;Uitvoer;Aardgas;1575,1
2002;Uitvoer;Hernieuwbare energie;11,7
2002;Uitvoer;Biomassa;11,7
2002;Uitvoer;Elektriciteit;16,2
2002;Statistische verschillen;Totaal energiedragers;15,4
2002;Statistische verschillen;Kool en koolproducten;0
2002;Statistische verschillen;Aardoliegrondstoffen en producten;4,2
2002;Statistische verschillen;Aardgas;8,1
2002;Statistische verschillen;Hernieuwbare energie;0
2002;Statistische verschillen;Biomassa;0
2002;Statistische verschillen;Elektriciteit;3,1
2002;Totaal energieverbruik;Totaal energiedragers;3249,1
2002;Totaal energieverbruik;Kool en koolproducten;348
2002;Totaal energieverbruik;Aardoliegrondstoffen en producten;1215,3
2002;Totaal energieverbruik;Aardgas;1490,3
2002;Totaal energieverbruik;Kernenergie;40,3
2002;Totaal energieverbruik;Hernieuwbare energie;65,5
2002;Totaal energieverbruik;Waterkracht;0,4
2002;Totaal energieverbruik;Windenergie;3,4
2002;Totaal energieverbruik;Zonne-energie;0,7
2002;Totaal energieverbruik;Omgevingsenergie;0,3
2002;Totaal energieverbruik;Biomassa;60,7
2002;Totaal energieverbruik;Elektriciteit;55,9
2002;Totaal energieverbruik;Overig;33,8
2003;Bunkering;Totaal energiedragers;699
2003;Bunkering;Aardoliegrondstoffen en producten;699
2003;Uitvoer;Totaal energiedragers;6117,8
2003;Uitvoer;Kool en koolproducten;17,5
2003;Uitvoer;Aardoliegrondstoffen en producten;4632,1
2003;Uitvoer;Aardgas;1442,6
2003;Uitvoer;Hernieuwbare energie;11,8
2003;Uitvoer;Biomassa;11,8
2003;Uitvoer;Elektriciteit;13,7
2003;Statistische verschillen;Totaal energiedragers;7,1
2003;Statistische verschillen;Kool en koolproducten;0
2003;Statistische verschillen;Aardoliegrondstoffen en producten;-1
2003;Statistische verschillen;Aardgas;5,8
2003;Statistische verschillen;Hernieuwbare energie;0
2003;Statistische verschillen;Biomassa;0
2003;Statistische verschillen;Elektriciteit;2,3
2003;Totaal energieverbruik;Totaal energiedragers;3367,3
2003;Totaal energieverbruik;Kool en koolproducten;359,3
2003;Totaal energieverbruik;Aardoliegrondstoffen en producten;1307,2
2003;Totaal energieverbruik;Aardgas;1500,6
2003;Totaal energieverbruik;Kernenergie;41,3
2003;Totaal energieverbruik;Hernieuwbare energie;64
2003;Totaal energieverbruik;Waterkracht;0,3
2003;Totaal energieverbruik;Windenergie;4,8
2003;Totaal energieverbruik;Zonne-energie;0,8
2003;Totaal energieverbruik;Omgevingsenergie;0,4
2003;Totaal energieverbruik;Biomassa;57,8
2003;Totaal energieverbruik;Elektriciteit;58,9
2003;Totaal energieverbruik;Overig;36
2004;Bunkering;Totaal energiedragers;758,9
2004;Bunkering;Aardoliegrondstoffen en producten;758,9
2004;Uitvoer;Totaal energiedragers;6586,7
2004;Uitvoer;Kool en koolproducten;10,9
2004;Uitvoer;Aardoliegrondstoffen en producten;4936,5
2004;Uitvoer;Aardgas;1606
2004;Uitvoer;Hernieuwbare energie;14,7
2004;Uitvoer;Biomassa;14,7
2004;Uitvoer;Elektriciteit;18,7
2004;Statistische verschillen;Totaal energiedragers;4,8
2004;Statistische verschillen;Kool en koolproducten;0
2004;Statistische verschillen;Aardoliegrondstoffen en producten;-2,5
2004;Statistische verschillen;Aardgas;2,2
2004;Statistische verschillen;Hernieuwbare energie;0
2004;Statistische verschillen;Biomassa;0
2004;Statistische verschillen;Elektriciteit;5,1
2004;Totaal energieverbruik;Totaal energiedragers;3406
2004;Totaal energieverbruik;Kool en koolproducten;354,6
2004;Totaal energieverbruik;Aardoliegrondstoffen en producten;1308,5
2004;Totaal energieverbruik;Aardgas;1536,4
2004;Totaal energieverbruik;Kernenergie;39,4
2004;Totaal energieverbruik;Hernieuwbare energie;75,7
2004;Totaal energieverbruik;Waterkracht;0,3
2004;Totaal energieverbruik;Windenergie;6,7
2004;Totaal energieverbruik;Zonne-energie;0,9
2004;Totaal energieverbruik;Omgevingsenergie;0,5
2004;Totaal energieverbruik;Biomassa;67,3
2004;Totaal energieverbruik;Elektriciteit;53,3
2004;Totaal energieverbruik;Overig;37,9
2005;Bunkering;Totaal energiedragers;806,6
2005;Bunkering;Aardoliegrondstoffen en producten;806,6
2005;Uitvoer;Totaal energiedragers;6724,1
2005;Uitvoer;Kool en koolproducten;11,1
2005;Uitvoer;Aardoliegrondstoffen en producten;5115,4
2005;Uitvoer;Aardgas;1564,9
2005;Uitvoer;Hernieuwbare energie;13,3
2005;Uitvoer;Biomassa;13,3
2005;Uitvoer;Elektriciteit;19,4
2005;Statistische verschillen;Totaal energiedragers;-14,5
2005;Statistische verschillen;Kool en koolproducten;0
2005;Statistische verschillen;Aardoliegrondstoffen en producten;-0,4
2005;Statistische verschillen;Aardgas;-13,4
2005;Statistische verschillen;Hernieuwbare energie;0,2
2005;Statistische verschillen;Biomassa;0,2
2005;Statistische verschillen;Elektriciteit;-0,9
2005;Totaal energieverbruik;Totaal energiedragers;3378,3
2005;Totaal energieverbruik;Kool en koolproducten;338,6
2005;Totaal energieverbruik;Aardoliegrondstoffen en producten;1305,4
2005;Totaal energieverbruik;Aardgas;1492,4
2005;Totaal energieverbruik;Kernenergie;41,3
2005;Totaal energieverbruik;Hernieuwbare energie;94,8
2005;Totaal energieverbruik;Waterkracht;0,3
2005;Totaal energieverbruik;Windenergie;7,4
2005;Totaal energieverbruik;Zonne-energie;0,9
2005;Totaal energieverbruik;Omgevingsenergie;0,7
2005;Totaal energieverbruik;Biomassa;85,4
2005;Totaal energieverbruik;Elektriciteit;66,7
2005;Totaal energieverbruik;Overig;39,1
2006;Bunkering;Totaal energiedragers;852,1
2006;Bunkering;Aardoliegrondstoffen en producten;852,1
2006;Uitvoer;Totaal energiedragers;6963,8
2006;Uitvoer;Kool en koolproducten;22,4
2006;Uitvoer;Aardoliegrondstoffen en producten;5267,3
2006;Uitvoer;Aardgas;1639,9
2006;Uitvoer;Hernieuwbare energie;13
2006;Uitvoer;Biomassa;13
2006;Uitvoer;Elektriciteit;21,2
2006;Statistische verschillen;Totaal energiedragers;3,1
2006;Statistische verschillen;Kool en koolproducten;0
2006;Statistische verschillen;Aardoliegrondstoffen en producten;-0,3
2006;Statistische verschillen;Aardgas;0,6
2006;Statistische verschillen;Hernieuwbare energie;0,1
2006;Statistische verschillen;Biomassa;0,1
2006;Statistische verschillen;Elektriciteit;2,7
2006;Totaal energieverbruik;Totaal energiedragers;3320,6
2006;Totaal energieverbruik;Kool en koolproducten;323,9
2006;Totaal energieverbruik;Aardoliegrondstoffen en producten;1314,8
2006;Totaal energieverbruik;Aardgas;1433,1
2006;Totaal energieverbruik;Kernenergie;35,9
2006;Totaal energieverbruik;Hernieuwbare energie;101
2006;Totaal energieverbruik;Waterkracht;0,4
2006;Totaal energieverbruik;Windenergie;9,8
2006;Totaal energieverbruik;Zonne-energie;0,9
2006;Totaal energieverbruik;Omgevingsenergie;0,9
2006;Totaal energieverbruik;Biomassa;88,9
2006;Totaal energieverbruik;Elektriciteit;74,5
2006;Totaal energieverbruik;Overig;37,4
2007;Bunkering;Totaal energiedragers;870,5
2007;Bunkering;Aardoliegrondstoffen en producten;870,5
2007;Uitvoer;Totaal energiedragers;6832,6
2007;Uitvoer;Kool en koolproducten;17,7
2007;Uitvoer;Aardoliegrondstoffen en producten;5110,4
2007;Uitvoer;Aardgas;1670,2
2007;Uitvoer;Hernieuwbare energie;14,6
2007;Uitvoer;Biomassa;14,6
2007;Uitvoer;Elektriciteit;19,7
2007;Statistische verschillen;Totaal energiedragers;-2,2
2007;Statistische verschillen;Kool en koolproducten;0
2007;Statistische verschillen;Aardoliegrondstoffen en producten;-3,3
2007;Statistische verschillen;Aardgas;-1,4
2007;Statistische verschillen;Hernieuwbare energie;-0,2
2007;Statistische verschillen;Biomassa;-0,2
2007;Statistische verschillen;Elektriciteit;2,7
2007;Totaal energieverbruik;Totaal energiedragers;3318,4
2007;Totaal energieverbruik;Kool en koolproducten;351,8
2007;Totaal energieverbruik;Aardoliegrondstoffen en producten;1324,1
2007;Totaal energieverbruik;Aardgas;1397
2007;Totaal energieverbruik;Kernenergie;41
2007;Totaal energieverbruik;Hernieuwbare energie;104,7
2007;Totaal energieverbruik;Waterkracht;0,4
2007;Totaal energieverbruik;Windenergie;12,4
2007;Totaal energieverbruik;Zonne-energie;1
2007;Totaal energieverbruik;Omgevingsenergie;1,2
2007;Totaal energieverbruik;Biomassa;89,7
2007;Totaal energieverbruik;Elektriciteit;60,7
2007;Totaal energieverbruik;Overig;39
2008;Bunkering;Totaal energiedragers;844,4
2008;Bunkering;Aardoliegrondstoffen en producten;844,4
2008;Uitvoer;Totaal energiedragers;7287,5
2008;Uitvoer;Kool en koolproducten;10,2
2008;Uitvoer;Aardoliegrondstoffen en producten;5376,6
2008;Uitvoer;Aardgas;1851,7
2008;Uitvoer;Hernieuwbare energie;16,2
2008;Uitvoer;Biomassa;16,2
2008;Uitvoer;Elektriciteit;32,8
2008;Statistische verschillen;Totaal energiedragers;-4
2008;Statistische verschillen;Kool en koolproducten;0
2008;Statistische verschillen;Aardoliegrondstoffen en producten;-3,2
2008;Statistische verschillen;Aardgas;-3
2008;Statistische verschillen;Hernieuwbare energie;0
2008;Statistische verschillen;Biomassa;0
2008;Statistische verschillen;Elektriciteit;2,2
2008;Totaal energieverbruik;Totaal energiedragers;3287,6
2008;Totaal energieverbruik;Kool en koolproducten;333,5
2008;Totaal energieverbruik;Aardoliegrondstoffen en producten;1242,4
2008;Totaal energieverbruik;Aardgas;1454
2008;Totaal energieverbruik;Kernenergie;40,1
2008;Totaal energieverbruik;Hernieuwbare energie;122,7
2008;Totaal energieverbruik;Waterkracht;0,4
2008;Totaal energieverbruik;Windenergie;15,3
2008;Totaal energieverbruik;Zonne-energie;1
2008;Totaal energieverbruik;Aardwarmte;0,1
2008;Totaal energieverbruik;Omgevingsenergie;1,7
2008;Totaal energieverbruik;Biomassa;104,2
2008;Totaal energieverbruik;Elektriciteit;54,9
2008;Totaal energieverbruik;Overig;40,1
2009;Bunkering;Totaal energiedragers;759,2
2009;Bunkering;Aardoliegrondstoffen en producten;759,2
2009;Uitvoer;Totaal energiedragers;7306,4
2009;Uitvoer;Kool en koolproducten;4,8
2009;Uitvoer;Aardoliegrondstoffen en producten;5581,3
2009;Uitvoer;Aardgas;1668,5
2009;Uitvoer;Hernieuwbare energie;13,8
2009;Uitvoer;Biomassa;13,8
2009;Uitvoer;Elektriciteit;38
2009;Statistische verschillen;Totaal energiedragers;-12,1
2009;Statistische verschillen;Kool en koolproducten;0
2009;Statistische verschillen;Aardoliegrondstoffen en producten;-7,8
